max: 102.12319946289062, min: 0.00878143310546875
mae 35.112491527557374, mse 47.08268051651593
sunny: MAE:24.46924184322357. RMSE:34.436948448169424.
backlight: MAE:77.68549026489258. RMSE:79.62587738552104.
crowded: MAE:48.864349452427454. RMSE:56.20645362297258.
sparse: MAE:3.0248230361938475. RMSE:4.228082469375012.
60: MAE:35.112491527557374. RMSE:47.08268051651593.
stand: MAE:36.29347203969955. RMSE:48.2507268412008.
fly: MAE:30.388569478988646. RMSE:42.08756895194637.
small: MAE:32.40450144026015. RMSE:45.49350971092044.
mid: MAE:59.48440231323242. RMSE:59.50506880799796.
